date,ticker,close,source
2026-03-03,GLD,215.0,sample_synthetic
2026-03-03,HYG,77.0,sample_synthetic
2026-03-03,IEF,98.0,sample_synthetic
2026-03-03,IWM,205.0,sample_synthetic
2026-03-03,LQD,107.0,sample_synthetic
2026-03-03,QQQ,430.0,sample_synthetic
2026-03-03,SHY,82.0,sample_synthetic
2026-03-03,SPY,510.0,sample_synthetic
2026-03-03,TIP,105.0,sample_synthetic
2026-03-03,TLT,92.0,sample_synthetic
2026-03-03,USO,71.0,sample_synthetic
2026-03-03,UUP,27.5,sample_synthetic
2026-03-03,VIX,14.0,sample_synthetic
2026-03-04,GLD,215.0323,sample_synthetic
2026-03-04,HYG,77.0077,sample_synthetic
2026-03-04,IEF,98.0078,sample_synthetic
2026-03-04,IWM,205.041,sample_synthetic
2026-03-04,LQD,107.0128,sample_synthetic
2026-03-04,QQQ,430.1505,sample_synthetic
2026-03-04,SHY,82.0025,sample_synthetic
2026-03-04,SPY,510.1275,sample_synthetic
2026-03-04,TIP,105.0105,sample_synthetic
2026-03-04,TLT,92.0046,sample_synthetic
2026-03-04,USO,71.0036,sample_synthetic
2026-03-04,UUP,27.5022,sample_synthetic
2026-03-04,VIX,14.28,sample_synthetic
2026-03-05,GLD,215.0645,sample_synthetic
2026-03-05,HYG,77.0154,sample_synthetic
2026-03-05,IEF,98.0157,sample_synthetic
2026-03-05,IWM,205.082,sample_synthetic
2026-03-05,LQD,107.0257,sample_synthetic
2026-03-05,QQQ,430.3011,sample_synthetic
2026-03-05,SHY,82.0049,sample_synthetic
2026-03-05,SPY,510.255,sample_synthetic
2026-03-05,TIP,105.021,sample_synthetic
2026-03-05,TLT,92.0092,sample_synthetic
2026-03-05,USO,71.0071,sample_synthetic
2026-03-05,UUP,27.5044,sample_synthetic
2026-03-05,VIX,14.56,sample_synthetic
2026-03-06,GLD,215.0968,sample_synthetic
2026-03-06,HYG,77.0231,sample_synthetic
2026-03-06,IEF,98.0235,sample_synthetic
2026-03-06,IWM,205.123,sample_synthetic
2026-03-06,LQD,107.0385,sample_synthetic
2026-03-06,QQQ,430.4517,sample_synthetic
2026-03-06,SHY,82.0074,sample_synthetic
2026-03-06,SPY,510.3826,sample_synthetic
2026-03-06,TIP,105.0315,sample_synthetic
2026-03-06,TLT,92.0138,sample_synthetic
2026-03-06,USO,71.0107,sample_synthetic
2026-03-06,UUP,27.5066,sample_synthetic
2026-03-06,VIX,14.84,sample_synthetic
2026-03-09,GLD,215.129,sample_synthetic
2026-03-09,HYG,77.0308,sample_synthetic
2026-03-09,IEF,98.0314,sample_synthetic
2026-03-09,IWM,205.164,sample_synthetic
2026-03-09,LQD,107.0514,sample_synthetic
2026-03-09,QQQ,430.6023,sample_synthetic
2026-03-09,SHY,82.0098,sample_synthetic
2026-03-09,SPY,510.5102,sample_synthetic
2026-03-09,TIP,105.042,sample_synthetic
2026-03-09,TLT,92.0184,sample_synthetic
2026-03-09,USO,71.0142,sample_synthetic
2026-03-09,UUP,27.5088,sample_synthetic
2026-03-09,VIX,15.12,sample_synthetic
2026-03-10,GLD,215.1613,sample_synthetic
2026-03-10,HYG,77.0385,sample_synthetic
2026-03-10,IEF,98.0392,sample_synthetic
2026-03-10,IWM,205.2051,sample_synthetic
2026-03-10,LQD,107.0642,sample_synthetic
2026-03-10,QQQ,430.753,sample_synthetic
2026-03-10,SHY,82.0123,sample_synthetic
2026-03-10,SPY,510.6378,sample_synthetic
2026-03-10,TIP,105.0525,sample_synthetic
2026-03-10,TLT,92.023,sample_synthetic
2026-03-10,USO,71.0178,sample_synthetic
2026-03-10,UUP,27.511,sample_synthetic
2026-03-10,VIX,15.4,sample_synthetic
2026-03-11,GLD,215.1936,sample_synthetic
2026-03-11,HYG,77.0462,sample_synthetic
2026-03-11,IEF,98.047,sample_synthetic
2026-03-11,IWM,205.2461,sample_synthetic
2026-03-11,LQD,107.0771,sample_synthetic
2026-03-11,QQQ,430.9038,sample_synthetic
2026-03-11,SHY,82.0148,sample_synthetic
2026-03-11,SPY,510.7655,sample_synthetic
2026-03-11,TIP,105.063,sample_synthetic
2026-03-11,TLT,92.0276,sample_synthetic
2026-03-11,USO,71.0213,sample_synthetic
2026-03-11,UUP,27.5132,sample_synthetic
2026-03-11,VIX,15.68,sample_synthetic
2026-03-12,GLD,215.2259,sample_synthetic
2026-03-12,HYG,77.0539,sample_synthetic
2026-03-12,IEF,98.0549,sample_synthetic
2026-03-12,IWM,205.2872,sample_synthetic
2026-03-12,LQD,107.0899,sample_synthetic
2026-03-12,QQQ,431.0546,sample_synthetic
2026-03-12,SHY,82.0172,sample_synthetic
2026-03-12,SPY,510.8932,sample_synthetic
2026-03-12,TIP,105.0735,sample_synthetic
2026-03-12,TLT,92.0322,sample_synthetic
2026-03-12,USO,71.0249,sample_synthetic
2026-03-12,UUP,27.5154,sample_synthetic
2026-03-12,VIX,15.96,sample_synthetic
2026-03-13,GLD,215.2581,sample_synthetic
2026-03-13,HYG,77.0616,sample_synthetic
2026-03-13,IEF,98.0627,sample_synthetic
2026-03-13,IWM,205.3282,sample_synthetic
2026-03-13,LQD,107.1028,sample_synthetic
2026-03-13,QQQ,431.2055,sample_synthetic
2026-03-13,SHY,82.0197,sample_synthetic
2026-03-13,SPY,511.0209,sample_synthetic
2026-03-13,TIP,105.084,sample_synthetic
2026-03-13,TLT,92.0368,sample_synthetic
2026-03-13,USO,71.0284,sample_synthetic
2026-03-13,UUP,27.5176,sample_synthetic
2026-03-13,VIX,16.24,sample_synthetic
2026-03-16,GLD,215.2904,sample_synthetic
2026-03-16,HYG,77.0693,sample_synthetic
2026-03-16,IEF,98.0706,sample_synthetic
2026-03-16,IWM,205.3693,sample_synthetic
2026-03-16,LQD,107.1156,sample_synthetic
2026-03-16,QQQ,431.3564,sample_synthetic
2026-03-16,SHY,82.0221,sample_synthetic
2026-03-16,SPY,511.1486,sample_synthetic
2026-03-16,TIP,105.0945,sample_synthetic
2026-03-16,TLT,92.0414,sample_synthetic
2026-03-16,USO,71.032,sample_synthetic
2026-03-16,UUP,27.5198,sample_synthetic
2026-03-16,VIX,16.52,sample_synthetic
2026-03-17,GLD,215.3227,sample_synthetic
2026-03-17,HYG,77.077,sample_synthetic
2026-03-17,IEF,98.0784,sample_synthetic
2026-03-17,IWM,205.4104,sample_synthetic
2026-03-17,LQD,107.1285,sample_synthetic
2026-03-17,QQQ,431.5074,sample_synthetic
2026-03-17,SHY,82.0246,sample_synthetic
2026-03-17,SPY,511.2764,sample_synthetic
2026-03-17,TIP,105.105,sample_synthetic
2026-03-17,TLT,92.046,sample_synthetic
2026-03-17,USO,71.0355,sample_synthetic
2026-03-17,UUP,27.522,sample_synthetic
2026-03-17,VIX,16.8,sample_synthetic
2026-03-18,GLD,215.355,sample_synthetic
2026-03-18,HYG,77.0847,sample_synthetic
2026-03-18,IEF,98.0863,sample_synthetic
2026-03-18,IWM,205.4515,sample_synthetic
2026-03-18,LQD,107.1413,sample_synthetic
2026-03-18,QQQ,431.6584,sample_synthetic
2026-03-18,SHY,82.0271,sample_synthetic
2026-03-18,SPY,511.4043,sample_synthetic
2026-03-18,TIP,105.1156,sample_synthetic
2026-03-18,TLT,92.0506,sample_synthetic
2026-03-18,USO,71.0391,sample_synthetic
2026-03-18,UUP,27.5242,sample_synthetic
2026-03-18,VIX,17.08,sample_synthetic
2026-03-19,GLD,215.3873,sample_synthetic
2026-03-19,HYG,77.0925,sample_synthetic
2026-03-19,IEF,98.0941,sample_synthetic
2026-03-19,IWM,205.4925,sample_synthetic
2026-03-19,LQD,107.1542,sample_synthetic
2026-03-19,QQQ,431.8095,sample_synthetic
2026-03-19,SHY,82.0295,sample_synthetic
2026-03-19,SPY,511.5321,sample_synthetic
2026-03-19,TIP,105.1261,sample_synthetic
